0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68
0.51433367,0.62239754,0.6341217,0.59778124,0.61854184,0.5969588,0.6088188,0.59643453,0.5836445,0.6196474,0.5942149,0.58593714,0.66135275,0.6215802,0.55309737,0.5534111,0.564151,0.63062674,0.58405095,0.55856615,0.6157454,0.64506155,0.5729753,0.6013482,0.5699423,0.5767195,0.55876917,0.59196085,0.6317889,0.6564266,0.59062195,0.47123867,0.61923826,0.6012572,0.62423325,0.598924,0.6335817,0.6399326,0.60264874,0.6369518,0.5989475,0.54249966,0.62792826,0.64494425,0.5711283,0.5611769,0.6151266,0.59769505,,,,,,,,,,,,,,,,,,,,,
0.52041644,0.64819556,0.6318106,0.6124421,0.62686104,0.6481655,0.65137655,0.66827005,0.63117516,0.65399057,0.61511385,0.60764515,0.6812124,0.6506828,0.59943956,0.567591,0.5821295,0.6724823,0.62229586,0.54017687,0.6597763,0.68443424,0.59132564,0.6294872,0.57969195,0.6055072,0.5781633,0.62508476,0.65339595,0.68061286,0.5972052,0.48305207,0.6706546,0.6281725,0.6519423,0.6385397,0.6478774,0.6661207,0.6341078,0.6751099,0.6152368,0.5314067,0.64479977,0.6540464,0.5767971,0.5560898,0.6316023,0.60970026,0.6451158,,,,,,,,,,,,,,,,,,,,
0.6041409,0.6713547,0.68814236,0.67600626,0.6652771,0.6787251,0.66792315,0.6903614,0.6710154,0.67778176,0.67870855,0.6569878,0.70259744,0.69590837,0.63697016,0.6399188,0.6405939,0.6910377,0.6715367,0.609476,0.6695128,0.6937228,0.6689932,0.6893977,0.65219426,0.6503656,0.6453825,0.66980946,0.7050247,0.70012784,0.66237247,0.56384504,0.6936151,0.6735445,0.68684727,0.6857432,0.6749012,0.69931334,0.67250323,0.68518656,0.65994173,0.6039927,0.66631943,0.6698764,0.62802404,0.61615354,0.67019707,0.6446978,0.66195154,0.68611705,,,,,,,,,,,,,,,,,,,
0.52390134,0.59804577,0.599774,0.58051246,0.60419476,0.5903935,0.5959155,0.6042678,0.57848185,0.60495234,0.58907044,0.5857515,0.61562747,0.59997547,0.5753597,0.55708,0.5596034,0.60127974,0.57728934,0.5444441,0.600931,0.6127028,0.56417584,0.5943193,0.55941516,0.58087146,0.55855733,0.59426403,0.60740674,0.61371887,0.58346653,0.51240444,0.6056177,0.58807486,0.6048604,0.5920368,0.6094626,0.6118673,0.59756345,0.61491895,0.5924849,0.54368544,0.60885,0.6146374,0.56964517,0.55883056,0.5941154,0.5893661,0.606874,0.6264247,0.5878728,,,,,,,,,,,,,,,,,,
0.6715621,0.7360435,0.7572299,0.7473721,0.7219278,0.7476295,0.74181104,0.75583905,0.7403646,0.745155,0.749277,0.72450155,0.77165544,0.76190084,0.69234467,0.7146509,0.7097231,0.7581074,0.73755044,0.6887022,0.7287029,0.75756973,0.7419471,0.75668687,0.7262354,0.71175563,0.7175622,0.7430963,0.7717674,0.76567334,0.7236013,0.6333717,0.75656134,0.74135625,0.7532232,0.7511291,0.7405209,0.7605282,0.73043203,0.742986,0.72703904,0.6679269,0.72055763,0.7251557,0.68591255,0.6796737,0.71961915,0.69936776,0.7081974,0.7342633,0.6682161,0.7664564,,,,,,,,,,,,,,,,,
0.5968449,0.6334952,0.6388448,0.63290286,0.6365654,0.6319185,0.6399051,0.6349124,0.62696195,0.63931674,0.6329153,0.629418,0.6528006,0.6408158,0.61144745,0.61679494,0.6179093,0.643781,0.62649804,0.61583143,0.6324327,0.64502984,0.6261098,0.6359452,0.62244606,0.620954,0.6160397,0.63477826,0.64481705,0.650632,0.6223013,0.5787521,0.6389958,0.63275176,0.6417567,0.6333411,0.63656473,0.64686584,0.6300579,0.64398193,0.63078463,0.60025764,0.6425153,0.6405181,0.6145443,0.60899895,0.6326595,0.6317821,0.6314245,0.647637,0.6157261,0.67764205,0.63568324,,,,,,,,,,,,,,,,
0.5425442,0.59324795,0.60749996,0.59490484,0.6019474,0.59858173,0.5889576,0.6068525,0.58926296,0.60114247,0.6014511,0.5889853,0.6129645,0.61137646,0.56905127,0.57387406,0.5700243,0.6017349,0.5922979,0.5470446,0.59610623,0.60601884,0.5900524,0.6072868,0.57975274,0.579459,0.5766481,0.5930163,0.6178368,0.60918784,0.6020757,0.52278596,0.60552335,0.59299845,0.6031156,0.6033086,0.59635717,0.616087,0.59837043,0.60843045,0.5905947,0.5530354,0.60266036,0.59639794,0.56904984,0.5697654,0.60408676,0.5860184,0.59245527,0.6381442,0.5850308,0.6765476,0.61231554,0.5929952,,,,,,,,,,,,,,,
0.58745265,0.627853,0.6296345,0.6256234,0.62735283,0.6286153,0.6222014,0.6357699,0.62293565,0.6280714,0.62622446,0.61898106,0.638674,0.638744,0.60879916,0.6046934,0.6113655,0.6348544,0.6242469,0.5899196,0.628191,0.63973075,0.6154161,0.630921,0.60725373,0.6164181,0.6112995,0.6219001,0.6378747,0.64020777,0.6193402,0.564598,0.6357377,0.62508535,0.63211745,0.6307906,0.62861305,0.6413822,0.62975043,0.6398465,0.6188139,0.5878329,0.6277685,0.628607,0.6046445,0.59878474,0.62908155,0.6139796,0.63079846,0.64838594,0.6082909,0.6747087,0.62353677,0.61212397,0.62698203,,,,,,,,,,,,,,
0.5828366,0.6206209,0.62781715,0.61794263,0.62424046,0.6220063,0.61820614,0.62816876,0.6162195,0.62345845,0.6243456,0.61563796,0.6339724,0.62979126,0.5994455,0.6008443,0.6040345,0.62440217,0.6177219,0.58847857,0.61871564,0.6298411,0.6116678,0.6259478,0.60453016,0.60940874,0.60474193,0.618332,0.6324042,0.63134545,0.61933535,0.5630897,0.6266998,0.61570275,0.6267942,0.6217392,0.62330514,0.63164854,0.62171745,0.62794346,0.6151798,0.5856815,0.6264942,0.6233752,0.60131145,0.59359384,0.62210655,0.6117607,0.6209093,0.6443136,0.6082919,0.6732598,0.6251407,0.6117338,0.62427384,0.61949635,,,,,,,,,,,,,
0.5543396,0.59483784,0.60144854,0.59235245,0.6023067,0.5969158,0.5888562,0.60086334,0.5879951,0.5998473,0.5958063,0.5865598,0.6078028,0.60456127,0.57644534,0.57195425,0.5795538,0.6041483,0.5896015,0.5551457,0.6014657,0.61081374,0.58308154,0.6029534,0.57600135,0.58969295,0.5746782,0.5909674,0.60527384,0.6090262,0.58816755,0.52838725,0.6060549,0.59592086,0.60343766,0.6034184,0.60265714,0.6118523,0.5999102,0.6090747,0.5921919,0.55867636,0.5994885,0.6023372,0.5746408,0.56727034,0.6013422,0.5892558,0.5983676,0.62706417,0.5856286,0.6542354,0.606663,0.5900715,0.6102241,0.60529655,0.59225494,,,,,,,,,,,,
